2804, 54368, 201
694, 52209, 46
2328, 53728, 50
2825, 54439, 140
694, 52209, 597
2328, 53728, 592
2825, 54439, 476
2060, 53706, 348
2060, 53706, 306
2825, 54439, 533
2864, 54467, 251
2864, 54467, 373
2328, 53728, 27
2825, 54439, 540
2825, 54439, 516
2328, 53728, 28
694, 52209, 80
695, 52202, 251
2825, 54439, 530
660, 52177, 280
2864, 54467, 189
2060, 53706, 283
2825, 54439, 515
2060, 53706, 334
660, 52177, 339
2864, 54467, 414
2864, 54467, 215
2825, 54439, 556
2060, 53706, 247
660, 52177, 388
2849, 54454, 466
695, 52202, 245
2060, 53706, 426
2864, 54467, 500
695, 52202, 219
2825, 54439, 62
2060, 53706, 432
2060, 53706, 175
2804, 54368, 630
660, 52177, 433
2864, 54467, 156
2061, 53711, 265
2060, 53706, 179
2060, 53706, 132
2825, 54439, 33
2864, 54467, 160
2060, 53706, 469
2041, 53387, 227
2061, 53711, 229
2061, 53711, 386
2061, 53711, 232
2060, 53706, 94
2061, 53711, 199
2060, 53706, 108
2060, 53706, 487
2060, 53706, 497
2061, 53711, 195
660, 52177, 458
2060, 53706, 93
2061, 53711, 411
2864, 54467, 546
660, 52177, 518
2060, 53706, 569
2864, 54467, 588
2061, 53711, 175
2062, 53381, 315
2060, 53706, 575
2329, 53725, 312
2864, 54467, 608
2063, 53359, 342
2061, 53711, 121
695, 52202, 612
696, 52209, 321
2329, 53725, 309
2060, 53706, 542
2061, 53711, 443
2041, 53387, 487
2060, 53706, 603
2061, 53711, 159
2061, 53711, 125
2060, 53706, 551
2060, 53706, 556
2329, 53725, 303
2043, 53351, 326
2336, 53712, 354
2062, 53381, 334
424, 51893, 334
696, 52209, 225
2061, 53711, 481
1080, 52614, 142
2329, 53725, 263
2062, 53381, 233
2063, 53359, 286
2063, 53359, 359
424, 51893, 335
2061, 53711, 145
2329, 53725, 330
2062, 53381, 336
2063, 53359, 400
2062, 53381, 425
2060, 53706, 13
2062, 53381, 225
2063, 53359, 288
696, 52209, 432
2061, 53711, 578
2061, 53711, 89
2061, 53711, 515
2062, 53381, 186
424, 51893, 206
2329, 53725, 238
696, 52209, 415
2062, 53381, 440
2061, 53711, 550
696, 52209, 476
2063, 53359, 407
399, 51817, 373
2061, 53711, 620
2329, 53725, 179
696, 52209, 447
2061, 53711, 618
661, 52163, 406
2062, 53381, 159
661, 52163, 446
2329, 53725, 164
2063, 53359, 182
424, 51893, 108
1079, 52621, 431
2061, 53711, 599
2061, 53711, 18
424, 51893, 540
2062, 53381, 493
2063, 53359, 164
2061, 53711, 614
2062, 53381, 506
2063, 53359, 168
661, 52163, 442
2329, 53725, 539
697, 52226, 341
425, 51884, 353
425, 51898, 353
2062, 53381, 517
2063, 53359, 133
696, 52209, 544
2878, 54465, 386
2878, 54465, 367
2062, 53381, 98
425, 51884, 342
425, 51898, 342
425, 51884, 264
425, 51898, 267
424, 51893, 566
661, 52163, 563
2878, 54465, 374
2063, 53359, 569
425, 51884, 284
425, 51898, 293
2062, 53381, 550
2063, 53359, 102
2062, 53381, 45
697, 52226, 298
697, 52226, 334
2878, 54465, 472
424, 51893, 37
2063, 53359, 571
2878, 54465, 417
2042, 53378, 600
2043, 53351, 68
2336, 53712, 60
2329, 53725, 598
424, 51893, 618
425, 51884, 186
425, 51898, 187
697, 52226, 429
2062, 53381, 629
2063, 53359, 68
2878, 54465, 94
399, 51817, 40
2062, 53381, 611
2062, 53381, 626
2329, 53725, 38
425, 51884, 483
425, 51898, 485
425, 51884, 211
425, 51898, 211
697, 52226, 172
662, 52147, 230
662, 52178, 240
425, 51884, 520
425, 51898, 517
425, 51884, 513
425, 51898, 518
425, 51884, 504
425, 51898, 515
697, 52226, 525
697, 52226, 528
425, 51884, 149
425, 51898, 149
697, 52226, 522
697, 52226, 539
425, 51884, 100
425, 51898, 98
697, 52226, 561
425, 51884, 102
425, 51898, 108
400, 51820, 517
697, 52226, 111
426, 51882, 338
1915, 53612, 327
426, 51882, 342
2064, 53341, 329
1915, 53612, 437
426, 51882, 266
663, 52145, 341
400, 51820, 136
1914, 53729, 227
2878, 54465, 32
425, 51884, 589
425, 51898, 599
426, 51882, 425
2064, 53341, 379
400, 51820, 60
698, 52203, 244
2064, 53341, 473
698, 52203, 255
2064, 53341, 371
426, 51882, 465
698, 52203, 471
2064, 53341, 406
2064, 53341, 215
2064, 53341, 198
2064, 53341, 485
698, 52203, 190
698, 52203, 498
1915, 53612, 100
2865, 54497, 251
698, 52203, 409
698, 52203, 484
2064, 53341, 492
2064, 53341, 179
426, 51882, 457
2865, 54497, 479
1915, 53612, 573
2865, 54497, 414
2064, 53341, 460
426, 51882, 482
698, 52203, 150
426, 51882, 84
426, 51882, 524
2865, 54497, 499
698, 52203, 510
2064, 53341, 82
2865, 54497, 420
426, 51882, 155
2064, 53341, 538
1915, 53612, 542
2865, 54497, 500
2064, 53341, 141
698, 52203, 558
2064, 53341, 579
1907, 53265, 248
1907, 53315, 248
1907, 53265, 364
1907, 53315, 372
698, 52203, 607
698, 52203, 50
1907, 53265, 252
1907, 53315, 258
1915, 53612, 617
2865, 54497, 540
426, 51882, 619
698, 52203, 585
1907, 53265, 429
1907, 53315, 430
698, 52203, 593
699, 52202, 391
698, 52203, 2
1915, 53612, 634
426, 51882, 8
2865, 54497, 88
1907, 53265, 416
1907, 53315, 418
426, 51882, 588
699, 52202, 322
429, 51820, 325
1899, 53262, 331
2865, 54497, 99
699, 52202, 383
1907, 53265, 453
1907, 53315, 451
2044, 53327, 582
698, 52203, 637
429, 51820, 296
2865, 54497, 107
426, 51882, 631
1899, 53262, 429
1899, 53262, 434
401, 51788, 86
1899, 53262, 467
2865, 54497, 612
2865, 54497, 77
699, 52202, 419
699, 52202, 470
664, 52174, 372
1899, 53262, 443
429, 51820, 443
699, 52202, 510
699, 52202, 537
699, 52202, 124
1899, 53262, 528
1899, 53262, 503
1899, 53262, 519
1899, 53262, 142
1907, 53265, 32
1907, 53315, 39
699, 52202, 119
1899, 53262, 554
700, 52199, 280
1899, 53262, 73
430, 51877, 243
1899, 53262, 37
402, 51793, 541
700, 52199, 414
700, 52199, 204
402, 51793, 114
665, 52168, 476
700, 52199, 198
402, 51793, 523
1076, 52914, 547
665, 52168, 494
665, 52168, 131
430, 51877, 559
2065, 53678, 353
2866, 54478, 326
403, 51871, 270
2065, 53678, 297
2866, 54478, 318
2065, 53678, 286
2866, 54478, 303
2065, 53678, 352
2866, 54478, 372
700, 52199, 155
2065, 53678, 272
2866, 54478, 242
701, 52179, 350
1075, 52933, 433
427, 51900, 306
666, 52149, 322
701, 52179, 271
427, 51900, 384
701, 52179, 231
2065, 53678, 226
2866, 54478, 162
427, 51900, 297
700, 52199, 26
427, 51900, 222
403, 51871, 85
2065, 53678, 125
2866, 54478, 187
700, 52199, 36
427, 51900, 438
427, 51900, 416
427, 51900, 157
427, 51900, 153
427, 51900, 462
666, 52149, 141
701, 52179, 546
427, 51900, 133
427, 51900, 147
2066, 53349, 352
427, 51900, 512
2065, 53678, 609
2866, 54478, 626
427, 51900, 553
427, 51900, 42
2066, 53349, 275
701, 52179, 2
702, 52178, 254
667, 52163, 393
404, 51812, 131
404, 51877, 139
702, 52178, 268
428, 51883, 354
428, 51883, 355
702, 52178, 247
2066, 53349, 212
427, 51900, 635
428, 51883, 289
428, 51883, 246
702, 52178, 448
702, 52178, 130
2066, 53349, 495
404, 51812, 618
404, 51877, 619
2066, 53349, 481
702, 52178, 149
2321, 53711, 384
2306, 53726, 290
405, 51816, 301
702, 52178, 160
428, 51883, 231
2321, 53711, 436
